utt_key,transcription,keywords
1056338697_4f7d7ce270_1,"a blond woman is on the street hailing a taxi","stands|car|yellow|street|road|women"
106490881_5a2dd9b7bd_4,"the boy is playing on the shore of an ocean","boy|young|children|water|ocean|beach"
1082379191_ec1e53f996_0,"a lady and a man with no shirt sit on a dock","shirt|sitting|women|sits"
1084040636_97d9633581_2,"a white dog has its head on the ground","white|dogs"
1096395242_fc69f0ae5a_3,"a young child plays with his new light-up toy","toy|young|children"
1107246521_d16a476380_3,"a black dog running after his rope toy","toy|running|black|dogs"
1119015538_e8e796281e_1,"a playful dog is running through the grass","field|running|grass|dogs"
1122944218_8eb3607403_1,"a baby is holding a small black flag with a moon and a star on it","young|baby|carrying|black|holding|small|children"
1131800850_89c7ffd477_1,"a dog is looking at something near the water","water|dogs|pool"
1131932671_c8d17751b3_1,"a boy jumped up from the green bed","boy|jumps|children"
113678030_87a6a6e42e_1,"a snowboarder takes a rest on the mountainside","mountain|snow|white|sits"
114051287_dd85625a04_0,"a boy dressed in soccer attire and holding his shoes getting out of a car","wearing|boy|car|young|holding|soccer"
115684808_cb01227802_1,"three men loading items on a sled","three|carrying"
1167669558_87a8a467d6_2,"the man in the yellow t-shirt is pulling a large grin on his face","shirt|yellow|face|large|mouth"
1174525839_7c1e6cfa86_4,"the girls is jumping into the air on the beach","jumps|young|air|water|sand|ocean|beach|children"
1174629344_a2e1a2bdbf_4,"people in summer clothes are walking on the sidewalk of a large city","wearing|building|large|street|walks"
1220401002_3f44b1f3f7_0,"two children are laughing in the grass","boy|little|young|small|smiling|grass|children"
1224851143_33bcdd299c_2,"a little boy is eating his food off of a spoon while sitting on a patio","boy|little|sitting|young|mouth|sits|children"
1237985362_dbafc59280_3,"a young woman in a blue shirt stands holding a young girl in a denim dress","stands|shirt|young|carrying|holding|women"
1248940539_46d33ed487_0,"three children are playing in sand near to the beach","water|little|three|young|sand|ocean|beach|children"
1258913059_07c613f7ff_4,"three people sit at a picnic table outside of a building painted like a union jack","building|sitting|park|three|sits"
1262583859_653f1469a9_1,"a man in a bright green shirt and sunglasses is riding a bicycle through the streets whilst drinking a latte","wearing|bike|shirt|street|holding|riding|rides|road"
1267711451_e2a754b4f8_2,"a black and white dog walking through the grass with a long stick in his mouth","walks|black|stick|mouth|white|grass|dogs"
127488876_f2d2a89588_4,"two men looking into the distance on a golf course","field|grass"
127490019_7c5c08cb11_0,"a girl is getting ready to swing the club","ball|young|holding|children"
1282392036_5a0328eb86_0,"a group of people in costume at a renaissance fair",""
1287073593_f3d2a62455_0,"a group of dogs pull a person on a dog sled up a hill","mountain|snowy|snow|rides|dogs"
1287475186_2dee85f1a5_0,"a boy sitting in water","boy|sitting|young|ocean|water|sits|beach|pool|swimming"
1298295313_db1f4c6522_1,"a boy diving backward off a pier in a large lake","boy|jumps|water|young|large|swimming"
1311388430_4ab0cd1a1f_1,"a person is hanging in the air from the power lines","air"
1317292658_ba29330a0b_1,"a boy in bathing trunks is standing under a water shower","boy|stands|young|water|children"
1322323208_c7ecb742c6_0,"a boy and a girl playing on the beach","boy|young|water|sand|ocean|beach|children"
132489044_3be606baf7_0,"a man sleeping with a bag on his lap on public transportation","carrying|riding"
1329832826_432538d331_4,"this is a picture of a broadway rite aid pharmacy that has a bright neon sign and people are prepared to cross the street in front of it","building|street|road"
1332722096_1e3de8ae70_1,"three women walk down the street","three|street|walks|road|women"
1339596997_8ac29c1841_3,"three women in head scarves examine a camera","wearing|three|camera|women"
1343426964_cde3fb54e8_3,"a young kid at the beach","little|young|water|sand|ocean|beach|children"
1348304997_afe60a61df_3,"the small red haired girl jumps on the trampoline under the tree by the shed","tree|jumps|young|air|hair|small|children|red"
1352410176_af6b139734_2,"a young girl balances on wooden pylons at the beach","young|ocean|water|sand|beach"
1356796100_b265479721_1,"a girl peeks through the leaves on a tree","little|tree|young"
136552115_6dc3e7231c_0,"a helmeted man jumping off a rock on a mountain bike","mountain|jumps|bike|rock"
136644343_0e2b423829_4,"young boy swinging on a tire swing","boy|little|sitting|tree|young|children"
136886677_6026c622eb_1,"two man are paddling a kayak along a river with green trees on either side","tree|water"
1386964743_9e80d96b05_4,"small child with black hair standing in car track near sunflowers","little|stands|young|hair|black|small|grass|car"
138718600_f430ebca17_1,"two blonde women sit beside their bicycles in the grass beside a body of water","grass|sitting|water|women|bike"
1387785218_cee67735f5_4,"a young child carrying a doll in a stroller","little|toy|car|young|small|carrying|walks|baby"
1389264266_8170bc1c54_0,"a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her","wearing|pink|face|hair|walks|children|women"
1392272228_cf104086e6_4,"a dog retrieves a branch from on a beach","ocean|water|carrying|stick|beach|dogs"
1394368714_3bc7c19969_1,"a man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale","holding|dogs"
