utt_key,transcription,counts
1056338697_4f7d7ce270_1,"a blond woman is on the street hailing a taxi","stands=3|car=3|young=1|yellow=4|street=4|road=3|women=5"
106490881_5a2dd9b7bd_4,"the boy is playing on the shore of an ocean","boy=5|little=2|young=4|children=3|water=3|sand=2|small=1|ocean=5|beach=5|dogs=1|pool=1|swimming=2"
1082379191_ec1e53f996_0,"a lady and a man with no shirt sit on a dock","shirt=2|face=2|beach=2|sitting=4|ocean=2|water=2|women=3|rock=1|sits=3|hat=1|swimming=2"
1084040636_97d9633581_2,"a white dog has its head on the ground","white=3|grass=1|dogs=5"
1096395242_fc69f0ae5a_3,"a young child plays with his new light-up toy","little=2|toy=5|young=3|face=1|hair=1|carrying=1|holding=1|small=2|smiling=1|children=4"
1107246521_d16a476380_3,"a black dog running after his rope toy","toy=5|street=1|stands=1|park=1|field=2|running=4|race=1|black=3|grass=1|dogs=5"
1119015538_e8e796281e_1,"a playful dog is running through the grass","jumps=1|park=2|field=3|running=4|stick=1|grass=5|dogs=5"
1122944218_8eb3607403_1,"a baby is holding a small black flag with a moon and a star on it","little=2|shirt=1|young=3|baby=5|carrying=3|black=3|holding=3|small=1|mouth=1|smiling=1|children=4"
1131800850_89c7ffd477_1,"a dog is looking at something near the water","toy=1|ocean=1|water=5|grass=1|beach=2|dogs=5|pool=3|swimming=1"
1131932671_c8d17751b3_1,"a boy jumped up from the green bed","boy=5|jumps=4|young=1|air=1|hair=1|running=1|children=3"
113678030_87a6a6e42e_1,"a snowboarder takes a rest on the mountainside","mountain=5|snowy=2|top=2|sitting=2|tree=1|snow=4|small=1|riding=1|white=3|sits=3|rides=1"
114051287_dd85625a04_0,"a boy dressed in soccer attire and holding his shoes getting out of a car","wearing=5|boy=5|ball=2|stands=1|car=1|white=1|park=2|young=4|field=1|carrying=1|holding=3|small=1|riding=1|smiling=1|soccer=3|children=2|road=1|shirt=2"
115684808_cb01227802_1,"three men loading items on a sled","snowy=2|snow=2|three=3|carrying=3|mouth=1|holding=2|riding=1"
1167669558_87a8a467d6_2,"the man in the yellow t-shirt is pulling a large grin on his face","wearing=2|shirt=1|yellow=5|face=3|large=1|mouth=4|smiling=1"
1174525839_7c1e6cfa86_4,"the girls is jumping into the air on the beach","face=1|jumps=5|young=4|air=4|water=4|sand=4|ocean=3|beach=4|children=3|women=1"
1174629344_a2e1a2bdbf_4,"people in summer clothes are walking on the sidewalk of a large city","wearing=3|bike=1|building=3|top=1|face=1|large=1|running=1|street=3|walks=5|soccer=1|road=2"
1220401002_3f44b1f3f7_0,"two children are laughing in the grass","boy=3|little=3|shirt=1|field=2|sitting=1|park=1|young=5|face=1|baby=1|small=3|smiling=3|grass=5|children=5"
1224851143_33bcdd299c_2,"a little boy is eating his food off of a spoon while sitting on a patio","building=1|boy=3|little=2|shirt=1|sitting=3|face=1|park=1|young=3|air=1|baby=1|camera=1|mouth=5|holding=2|small=1|sits=3|children=3"
1237985362_dbafc59280_3,"a young woman in a blue shirt stands holding a young girl in a denim dress","wearing=2|little=2|stands=4|sitting=1|shirt=3|young=5|yellow=1|face=1|jacket=1|carrying=4|holding=5|small=1|children=2|women=3"
1248940539_46d33ed487_0,"three children are playing in sand near to the beach","water=4|little=3|dirt=1|rides=1|tree=1|three=4|yellow=1|young=5|large=1|sand=5|rock=1|small=1|smiling=2|ocean=3|beach=5|children=4|swimming=2"
1258913059_07c613f7ff_4,"three people sit at a picnic table outside of a building painted like a union jack","building=4|stands=1|sitting=3|park=3|three=4|street=1|mouth=1|sits=4|red=2|shirt=1"
1262583859_653f1469a9_1,"a man in a bright green shirt and sunglasses is riding a bicycle through the streets whilst drinking a latte","wearing=4|bike=3|shirt=3|sitting=1|top=1|young=1|face=2|water=1|street=3|holding=3|riding=2|sits=2|rides=3|carrying=1|road=3"
